os_type,os_days_since_update,firewall_enabled,antivirus_enabled,days_since_av_update,browser_safe_browsing_enabled,browser_autofill_passwords,risky_extension_count,risk_score_0_10,risk_tier
Windows,113.2,1,0,4.4,0,1,2,7.24,High
Windows,68.7,1,0,111.8,0,0,0,4.35,Medium
Windows,98.7,1,1,21.2,1,1,1,3.0,Low
macOS,177.2,0,1,102.3,1,1,2,7.19,High
macOS,58.2,0,0,118.5,1,0,1,6.58,Medium
macOS,204.9,0,0,114.9,0,1,3,10.0,High
Windows,274.9,1,0,20.1,0,1,4,9.08,High
Windows,42.2,0,1,35.0,1,1,0,4.07,Medium
Windows,83.1,0,1,167.3,1,1,2,5.53,Medium
Windows,81.2,1,1,79.0,0,1,1,5.27,Medium
macOS,13.5,1,1,29.2,1,1,1,1.67,Low
macOS,147.6,0,1,62.1,1,0,0,6.65,Medium
Windows,92.0,1,0,86.2,0,1,3,7.32,High
Windows,157.6,0,0,106.1,0,1,3,10.0,High
Windows,32.1,1,0,125.4,1,0,1,2.12,Low
Linux,227.8,1,0,50.8,1,0,0,4.12,Medium
macOS,11.3,1,0,45.0,1,0,1,2.93,Low
Windows,95.1,1,0,14.4,1,0,1,3.45,Low
Linux,75.9,1,1,43.8,1,0,3,2.44,Low
Windows,129.4,1,1,41.3,1,0,2,3.66,Low
Windows,51.5,1,1,37.0,1,1,0,2.92,Low
Linux,77.4,1,0,21.7,1,0,4,3.88,Low
Windows,141.7,0,1,121.7,1,0,3,8.52,High
Windows,64.4,1,1,42.9,1,1,0,2.27,Low
macOS,183.3,1,0,59.6,0,0,4,8.49,High
Windows,130.5,0,0,90.4,0,1,3,10.0,High
macOS,48.5,1,1,19.3,1,1,2,1.72,Low
Windows,42.4,1,1,64.3,0,0,0,3.16,Low
Windows,129.2,1,0,16.2,1,1,2,5.31,Medium
Windows,159.4,0,1,68.7,1,0,0,5.92,Medium
Windows,140.0,1,1,125.7,1,0,2,4.15,Medium
Windows,343.9,1,0,212.1,0,1,1,7.94,High
Windows,131.6,1,0,89.2,1,1,2,4.72,Medium
Linux,44.7,1,1,178.4,1,0,1,2.18,Low
Windows,84.0,0,1,207.1,0,0,2,6.27,Medium
Windows,134.8,1,1,72.5,1,0,4,5.6,Medium
Windows,161.2,1,0,51.4,0,1,4,9.07,High
Windows,51.4,0,1,93.9,0,0,3,6.5,Medium
Windows,110.2,0,1,106.7,0,1,3,9.84,High
macOS,100.2,1,1,55.7,1,1,0,3.15,Low
Windows,105.7,1,0,48.0,1,1,1,2.82,Low
Linux,119.5,0,0,45.3,0,0,0,8.7,High
Linux,5.6,1,0,15.6,1,1,0,1.8,Low
Windows,240.0,0,0,149.2,0,0,4,10.0,High
Windows,12.2,1,1,39.1,1,0,1,0.91,Low
Windows,17.5,1,0,6.4,1,0,1,1.44,Low
macOS,75.6,1,1,25.0,1,0,0,1.95,Low
Windows,111.3,0,1,9.1,1,0,0,4.45,Medium
Linux,159.6,0,1,59.8,0,1,0,8.91,High
macOS,108.4,1,0,36.4,1,0,0,3.71,Low
macOS,45.2,1,1,3.0,1,0,1,1.15,Low
Windows,12.4,1,0,17.8,1,1,0,3.13,Low
Linux,134.8,1,1,45.7,1,0,3,5.15,Medium
Windows,11.7,1,1,20.7,1,0,1,0.75,Low
Windows,85.4,1,1,13.6,1,1,2,2.75,Low
Windows,138.5,0,0,65.7,1,0,1,7.98,High
Linux,59.2,1,0,156.1,1,1,4,3.76,Low
macOS,54.0,0,0,52.5,1,0,1,6.91,Medium
macOS,134.1,1,1,112.6,1,1,3,6.13,Medium
Windows,151.5,1,0,58.7,1,0,4,6.13,Medium
Linux,99.4,1,1,53.7,1,1,1,3.49,Low
Windows,124.5,0,1,80.9,0,1,3,9.65,High
Windows,148.5,0,0,73.8,1,0,3,10.0,High
Linux,15.6,0,1,51.5,1,1,2,3.98,Low
Windows,146.4,0,1,9.8,1,0,2,5.63,Medium
Windows,100.3,0,0,100.8,0,1,1,10.0,High
macOS,105.3,1,0,16.1,1,0,1,4.2,Medium
Windows,38.1,1,1,56.1,1,0,0,0.7,Low
Windows,138.0,0,1,103.4,0,1,1,9.4,High
Windows,140.4,0,1,39.5,1,0,4,7.87,High
Windows,58.1,0,1,84.7,0,0,1,6.15,Medium
Linux,213.1,0,1,91.9,0,1,4,10.0,High
macOS,258.9,1,1,52.9,1,0,0,4.42,Medium
Windows,72.5,0,0,76.3,0,0,1,9.04,High
Windows,45.2,1,1,74.2,1,0,2,2.0,Low
Windows,174.8,0,1,43.6,1,1,0,7.25,High
macOS,51.5,0,1,23.6,1,1,2,4.97,Medium
Linux,52.0,1,1,55.0,1,1,2,3.15,Low
Linux,10.5,1,1,64.9,1,0,3,2.0,Low
Windows,50.1,1,1,46.7,1,0,0,1.6,Low
Windows,126.8,0,1,189.6,0,1,4,9.78,High
Windows,10.8,1,0,39.3,0,0,0,3.0,Low
macOS,77.3,1,1,55.6,1,1,0,2.99,Low
Windows,193.0,0,0,54.0,0,1,0,10.0,High
macOS,463.8,0,0,103.1,0,0,4,10.0,High
macOS,96.2,1,0,53.5,1,0,1,3.28,Low
Windows,17.5,1,1,29.3,1,0,1,0.51,Low
Windows,80.7,1,1,22.3,1,0,2,2.27,Low
Windows,103.4,1,0,40.6,1,0,1,3.99,Low
Windows,71.2,0,0,103.4,1,0,3,7.36,High
Windows,152.3,1,0,32.6,0,1,3,8.22,High
macOS,77.1,0,1,43.8,1,0,1,4.48,Medium
Windows,107.8,0,0,81.7,0,0,2,8.7,High
Windows,130.9,1,1,58.2,0,0,1,4.75,Medium
macOS,81.8,1,0,29.7,1,1,0,3.86,Low
macOS,66.7,1,1,69.2,1,1,4,3.43,Low
Windows,50.0,1,1,8.2,1,1,2,1.93,Low
macOS,78.4,0,1,102.1,0,0,5,7.73,High
Linux,119.0,1,1,58.6,0,0,1,4.24,Medium
macOS,72.3,0,1,59.6,0,1,1,8.03,High
macOS,118.8,1,0,48.7,1,1,3,5.8,Medium
Windows,56.7,1,1,10.6,1,0,1,2.38,Low
Linux,276.1,0,1,55.1,1,0,4,8.45,High
Windows,141.5,0,0,12.2,1,1,0,7.7,High
Linux,69.5,1,1,65.5,1,1,1,2.69,Low
macOS,163.7,0,1,26.5,0,0,0,6.61,Medium
Windows,82.1,1,1,13.8,1,0,1,2.73,Low
Windows,85.6,1,1,126.5,1,0,3,2.74,Low
macOS,82.4,1,0,193.6,0,0,4,5.77,Medium
macOS,198.3,1,1,57.9,0,1,2,7.65,High
Windows,62.4,1,0,96.0,1,1,3,3.35,Low
macOS,78.6,1,0,38.6,1,1,5,3.89,Low
Linux,40.1,1,1,40.9,1,0,1,1.93,Low
Windows,169.5,0,0,116.4,1,0,2,8.68,High
Windows,76.6,1,1,35.4,0,1,3,5.3,Medium
Windows,230.2,0,0,55.1,0,0,3,10.0,High
macOS,151.1,1,1,27.2,1,0,0,1.93,Low
Windows,129.0,0,1,58.5,0,1,1,8.54,High
Linux,120.5,1,0,47.5,1,1,0,4.7,Medium
Windows,41.8,1,1,7.2,1,1,0,0.65,Low
macOS,75.8,0,1,3.8,0,1,2,7.33,High
Windows,157.3,0,1,68.5,0,1,3,10.0,High
Windows,111.1,1,1,42.5,1,0,2,2.56,Low
macOS,133.2,0,0,58.1,0,0,2,9.71,High
Windows,37.1,1,0,28.2,1,0,1,2.45,Low
Windows,34.4,1,0,88.3,0,0,2,4.56,Medium
Linux,35.7,1,0,24.1,1,0,1,2.21,Low
Linux,288.2,0,0,27.9,1,0,1,9.32,High
Linux,103.5,1,0,77.4,0,1,4,8.13,High
Windows,225.8,0,0,64.7,0,0,3,10.0,High
macOS,306.3,0,1,163.9,1,0,3,8.06,High
Linux,100.3,0,1,21.9,0,0,0,5.53,Medium
Windows,137.9,1,1,140.7,1,0,3,5.43,Medium
Windows,91.0,0,1,97.0,1,0,1,5.1,Medium
macOS,48.2,0,0,55.5,0,1,4,9.73,High
Windows,151.5,0,1,31.2,1,1,1,6.66,Medium
macOS,182.5,0,0,47.7,0,1,0,10.0,High
Linux,3.2,1,1,34.0,1,0,1,0.55,Low
macOS,189.0,0,1,76.5,0,0,1,8.76,High
Windows,145.6,0,0,117.6,1,1,4,10.0,High
Windows,151.8,1,1,81.8,0,0,4,6.98,Medium
Windows,65.8,0,1,90.2,1,0,2,5.21,Medium
Windows,68.9,0,1,8.8,1,1,1,3.08,Low
macOS,50.9,0,0,42.3,0,1,1,8.91,High
macOS,100.8,0,1,36.2,1,0,5,6.66,Medium
Windows,86.8,1,1,69.1,0,0,1,4.15,Medium
Windows,190.4,1,0,119.8,1,0,2,5.2,Medium
Linux,146.4,1,1,18.3,1,0,2,2.29,Low
Windows,41.2,1,1,23.5,0,0,5,3.33,Low
Windows,88.6,0,1,32.1,1,1,2,4.73,Medium
Windows,84.2,0,1,21.8,0,0,1,5.57,Medium
macOS,171.9,1,1,48.9,1,0,2,4.05,Medium
Windows,180.1,1,0,95.8,0,1,3,9.38,High
macOS,77.9,1,1,21.8,1,0,1,1.73,Low
Windows,245.0,0,1,43.4,0,1,3,10.0,High
macOS,72.6,0,1,37.1,1,1,2,4.93,Medium
Windows,95.9,0,0,94.6,1,1,1,7.93,High
Windows,161.3,1,0,35.5,1,1,3,6.14,Medium
Windows,172.5,1,0,99.0,1,0,4,6.53,Medium
Windows,127.7,0,1,113.9,0,0,2,6.91,Medium
Windows,163.8,1,1,284.3,1,0,2,4.05,Medium
Windows,97.3,1,0,23.5,1,1,1,4.11,Medium
Windows,82.8,1,0,149.4,0,1,3,6.11,Medium
Windows,240.3,0,0,56.7,1,1,2,9.44,High
Linux,177.9,0,0,64.8,0,0,3,10.0,High
Windows,115.6,0,1,56.4,0,0,0,7.52,High
macOS,73.6,1,1,24.0,0,0,2,3.6,Low
Linux,97.5,1,0,36.8,1,0,1,3.73,Low
Windows,71.6,0,0,68.2,0,1,3,9.72,High
macOS,29.4,1,1,9.8,1,0,0,0.0,Low
Linux,54.0,1,0,82.9,1,0,1,2.51,Low
macOS,21.4,1,1,23.1,0,0,2,1.87,Low
Windows,144.3,1,1,11.3,0,1,2,6.01,Medium
Windows,44.3,1,1,35.4,1,0,0,1.42,Low
Windows,56.2,0,1,43.6,1,0,1,4.33,Medium
Windows,46.4,0,0,137.3,1,1,0,6.68,Medium
Linux,190.7,0,0,76.6,0,0,1,9.83,High
Linux,130.6,0,1,47.8,0,1,3,9.64,High
Windows,210.2,0,1,71.7,1,0,1,6.85,Medium
macOS,57.6,1,1,17.4,0,1,2,5.27,Medium
Windows,118.4,0,1,63.1,1,0,3,7.19,High
Linux,112.4,1,0,64.7,0,1,0,6.53,Medium
Windows,330.5,1,1,76.1,0,0,4,8.15,High
Linux,51.2,1,1,7.5,0,0,2,2.81,Low
macOS,29.3,0,1,56.6,1,1,0,3.88,Low
Windows,29.3,1,0,37.9,1,0,0,2.26,Low
Windows,292.6,0,1,75.5,1,1,2,8.05,High
macOS,113.4,1,1,21.6,1,1,0,3.19,Low
Windows,357.0,1,1,12.8,0,1,3,7.97,High
Windows,28.3,1,1,52.5,1,0,5,1.52,Low
Linux,98.0,1,0,58.1,1,0,0,2.72,Low
macOS,90.8,1,1,19.6,1,0,1,2.24,Low
Windows,14.7,1,1,12.3,0,1,1,3.3,Low
Windows,18.2,1,1,20.2,1,0,0,0.59,Low
Windows,83.6,0,1,85.8,1,0,2,5.58,Medium
Linux,104.7,1,1,41.2,0,0,2,3.78,Low
Windows,110.5,1,0,104.5,0,1,1,6.31,Medium
Windows,66.1,0,0,40.2,1,0,2,7.46,High
Windows,64.8,1,1,18.9,0,0,2,2.73,Low
Linux,28.4,0,0,37.5,0,1,0,9.17,High
Windows,36.6,1,1,47.7,0,1,0,4.31,Medium
Linux,26.8,0,0,112.6,1,0,2,6.23,Medium
macOS,62.7,0,1,27.9,1,1,2,4.89,Medium
macOS,27.5,1,1,65.1,0,0,1,3.14,Low
Linux,230.4,0,1,84.9,1,1,2,7.66,High
macOS,181.3,0,1,112.8,1,1,2,6.59,Medium
Linux,81.8,1,0,186.7,1,1,3,4.66,Medium
Windows,253.0,1,0,40.9,0,0,4,8.2,High
macOS,14.0,1,1,14.4,1,0,1,1.13,Low
Windows,31.5,1,1,26.3,1,1,1,1.83,Low
Windows,27.9,1,1,26.2,1,1,0,2.26,Low
Linux,132.8,0,1,10.5,0,0,0,6.03,Medium
Linux,115.3,1,1,16.5,1,0,0,2.94,Low
macOS,19.7,1,1,19.0,1,0,0,0.29,Low
Windows,349.9,1,1,26.8,0,1,1,6.82,Medium
Windows,152.2,1,0,112.4,0,0,1,6.33,Medium
Windows,92.9,0,1,36.3,0,1,3,9.1,High
Windows,84.4,1,1,108.8,0,0,1,3.22,Low
Windows,282.8,1,1,100.9,1,0,0,4.15,Medium
Windows,113.6,0,1,19.9,1,0,1,4.73,Medium
Windows,329.9,1,0,191.6,0,1,2,8.36,High
macOS,185.6,0,0,16.7,0,1,2,10.0,High
Windows,29.6,0,0,17.4,0,0,1,7.31,High
Linux,123.4,1,1,57.2,1,0,2,3.18,Low
macOS,123.1,0,1,19.9,1,0,2,5.16,Medium
Windows,173.8,0,1,111.1,1,0,3,8.12,High
Windows,48.7,0,0,32.7,1,1,3,7.59,High
Windows,258.4,0,0,79.8,0,0,3,10.0,High
Linux,76.3,1,1,22.7,1,0,1,1.39,Low
Windows,135.2,0,0,69.5,0,0,3,10.0,High
Windows,24.1,1,1,65.1,1,0,1,1.29,Low
Linux,34.8,1,1,20.5,1,1,1,1.49,Low
Linux,145.0,0,1,196.8,0,1,1,8.53,High
Windows,97.2,0,1,100.4,1,1,1,5.43,Medium
Windows,113.0,1,1,36.9,1,1,2,3.98,Low
Windows,158.5,1,0,56.7,0,0,2,6.34,Medium
Windows,154.7,0,1,37.9,1,1,1,5.98,Medium
Windows,113.4,0,1,69.9,0,1,0,8.28,High
macOS,137.4,1,1,8.2,1,0,3,4.1,Medium
Linux,73.7,1,0,105.7,0,0,1,5.25,Medium
Windows,210.5,1,0,174.4,0,1,2,7.75,High
macOS,19.0,1,1,7.0,1,0,0,0.24,Low
Windows,16.9,1,1,7.8,0,1,0,3.1,Low
macOS,31.6,1,1,33.6,0,1,1,3.62,Low
macOS,113.1,0,0,91.2,0,0,0,9.0,High
Linux,21.6,1,1,5.7,1,0,1,0.69,Low
Linux,32.8,1,1,54.0,0,0,3,3.53,Low
Windows,65.0,1,0,111.6,1,1,1,3.47,Low
Windows,126.4,0,0,7.2,0,0,0,9.12,High
Windows,118.1,1,1,50.7,1,1,1,4.21,Medium
Windows,109.4,1,1,30.2,1,1,0,3.12,Low
Linux,45.0,0,1,29.9,1,0,0,2.93,Low
Windows,64.2,1,0,22.0,1,0,0,2.87,Low
macOS,21.8,1,1,29.6,1,0,0,1.3,Low
Windows,76.1,1,1,15.6,0,1,1,3.66,Low
Windows,15.0,1,1,12.5,1,0,1,0.19,Low
Windows,107.8,1,1,5.5,1,0,2,2.64,Low
macOS,167.0,1,1,85.2,1,0,2,4.66,Medium
macOS,130.0,1,0,88.4,1,0,0,3.98,Low
Windows,365.0,1,0,82.0,1,1,1,5.67,Medium
Windows,124.0,1,1,32.6,1,1,0,3.74,Low
macOS,81.6,0,0,46.7,0,0,1,8.25,High
Windows,82.2,1,0,172.2,0,1,2,5.88,Medium
Linux,177.1,1,1,13.3,1,0,0,3.25,Low
Windows,45.9,0,1,111.3,1,1,1,4.89,Medium
Windows,154.2,1,1,49.5,1,1,3,5.81,Medium
Windows,66.2,1,0,114.5,0,0,2,4.89,Medium
Windows,123.9,1,0,13.1,1,1,2,5.37,Medium
Windows,24.1,1,0,28.8,1,0,0,2.1,Low
Windows,87.1,0,1,13.1,0,1,3,7.04,High
Linux,67.5,1,1,13.8,1,1,2,2.0,Low
Windows,105.0,1,0,138.3,1,1,5,6.12,Medium
Windows,137.9,0,1,19.3,1,1,2,6.62,Medium
Windows,211.2,0,0,108.2,0,1,1,10.0,High
Windows,123.8,1,1,91.6,1,1,4,5.14,Medium
macOS,84.9,1,1,46.4,1,1,2,2.84,Low
Windows,98.7,1,1,102.4,0,1,3,7.04,High
macOS,57.5,1,0,102.2,0,1,0,5.45,Medium
Windows,70.7,0,1,94.7,0,0,6,6.85,Medium
Linux,102.2,1,0,29.2,1,0,1,3.27,Low
Windows,183.3,0,1,78.4,1,1,1,6.9,Medium
Linux,258.0,0,1,95.9,0,1,1,9.47,High
Windows,26.0,1,0,44.6,1,1,1,2.85,Low
Windows,37.0,1,1,20.5,1,0,2,0.98,Low
macOS,149.3,0,1,49.5,0,1,2,9.13,High
macOS,60.7,0,1,7.6,1,0,1,4.52,Medium
macOS,111.1,1,0,30.6,1,0,3,5.36,Medium
Windows,71.5,1,0,15.9,1,0,1,3.18,Low
macOS,40.3,1,1,64.3,1,0,3,1.67,Low
Linux,111.7,1,0,124.0,0,1,7,8.78,High
macOS,40.3,0,1,10.8,1,1,3,4.15,Medium
Windows,92.5,0,0,66.6,0,1,2,10.0,High
macOS,373.3,0,0,82.5,1,1,6,10.0,High
macOS,84.8,1,0,79.6,0,0,1,4.44,Medium
Linux,99.2,1,1,40.8,1,0,1,2.32,Low
Windows,115.8,1,1,131.5,0,0,3,6.27,Medium
Windows,50.7,1,1,48.5,1,1,0,1.62,Low
macOS,18.7,1,1,19.5,1,0,2,1.06,Low
Windows,148.4,1,0,96.5,0,0,4,7.42,High
macOS,120.3,1,1,47.9,1,0,1,3.03,Low
Windows,214.1,1,1,120.3,1,0,0,3.29,Low
Windows,59.3,1,1,13.3,1,0,2,1.86,Low
macOS,17.4,0,1,66.8,0,1,0,7.39,High
Windows,32.4,0,0,29.8,1,0,0,5.81,Medium
Windows,117.2,1,0,96.1,1,0,2,3.51,Low
macOS,77.0,1,0,87.9,1,0,5,4.29,Medium
macOS,95.6,1,0,68.8,1,0,1,3.15,Low
Linux,44.5,1,1,22.7,1,0,0,1.14,Low
Windows,13.7,0,1,4.9,1,0,0,2.43,Low
Windows,128.0,1,1,66.6,1,1,1,3.3,Low
Linux,121.1,1,0,46.7,1,0,1,4.08,Medium
Windows,31.7,1,0,17.1,0,0,1,3.49,Low
Windows,141.7,0,0,60.5,1,0,2,7.68,High
Windows,322.7,1,0,194.4,1,1,2,5.82,Medium
Windows,103.6,1,0,57.1,1,0,1,4.79,Medium
Linux,194.8,0,1,33.1,0,0,2,8.3,High
macOS,132.0,1,1,21.3,1,0,2,3.05,Low
macOS,49.6,1,1,32.1,0,1,5,6.38,Medium
Windows,155.1,0,0,157.9,0,1,5,10.0,High
Windows,126.7,1,0,22.9,1,0,0,4.08,Medium
Windows,160.0,0,0,128.2,1,1,1,9.68,High
Windows,198.9,0,0,59.7,1,0,2,8.59,High
Windows,90.9,1,1,18.6,1,0,2,2.42,Low
Windows,82.5,1,1,26.3,0,1,2,4.81,Medium
Windows,292.9,0,0,111.7,0,1,1,10.0,High
macOS,49.1,1,1,12.9,1,0,0,1.23,Low
macOS,51.6,1,0,21.9,1,0,2,2.21,Low
Windows,218.1,0,0,36.7,0,1,1,10.0,High
Windows,7.5,0,1,5.2,0,1,2,5.83,Medium
macOS,71.3,1,0,51.2,1,1,3,3.27,Low
macOS,93.2,0,0,71.0,1,1,2,7.81,High
macOS,188.1,1,1,21.7,0,1,4,7.62,High
Windows,18.4,0,1,14.8,1,0,0,2.36,Low
macOS,12.2,1,0,29.2,0,0,1,3.79,Low
Windows,43.2,1,1,11.7,0,1,0,3.78,Low
Windows,139.5,0,0,112.7,1,1,1,8.49,High
Windows,189.5,0,1,92.1,1,1,2,7.22,High
Windows,122.5,1,0,23.4,1,0,2,4.3,Medium
Windows,80.8,1,1,51.6,1,1,0,2.52,Low
Windows,35.8,0,0,20.5,0,1,1,8.73,High
macOS,14.7,1,0,57.6,1,1,3,3.38,Low
Windows,137.2,1,0,88.4,1,0,2,4.19,Medium
Windows,70.3,1,1,36.3,1,1,2,3.23,Low
Windows,40.6,1,1,15.0,1,1,0,1.22,Low
Windows,38.6,1,0,34.0,1,0,0,2.59,Low
Windows,106.8,1,1,123.5,0,0,4,6.2,Medium
Windows,33.7,1,1,75.5,1,1,4,3.02,Low
Windows,133.2,0,1,88.1,1,0,1,5.98,Medium
macOS,134.4,1,1,12.0,1,0,0,2.85,Low
Linux,71.0,1,1,76.4,1,0,2,3.14,Low
Windows,194.2,0,1,5.8,1,1,2,6.23,Medium
macOS,9.7,0,1,37.9,0,1,2,6.94,Medium
Linux,32.1,1,1,59.1,0,1,1,4.34,Medium
Linux,265.3,1,1,98.8,1,0,0,3.38,Low
macOS,19.7,1,1,0.5,1,0,0,0.63,Low
Linux,141.7,0,0,105.2,1,0,2,8.65,High
Linux,69.2,1,1,24.0,1,0,3,2.39,Low
macOS,57.4,0,0,23.3,0,1,1,9.28,High
Windows,269.9,1,0,107.5,0,1,4,9.12,High
Windows,64.9,0,0,12.4,0,1,2,9.54,High
Windows,114.8,1,1,49.6,1,0,1,3.05,Low
Windows,193.4,0,0,69.6,1,0,3,10.0,High
Windows,337.8,1,1,244.5,1,1,5,6.28,Medium
Windows,29.2,0,1,104.7,1,0,0,3.72,Low
macOS,348.2,0,0,66.2,0,1,2,10.0,High
macOS,82.8,0,1,16.8,1,1,2,4.76,Medium
macOS,50.6,1,0,12.9,1,0,2,3.19,Low
Windows,15.4,1,1,83.3,1,0,1,0.9,Low
Windows,62.8,0,1,23.0,1,1,0,4.49,Medium
macOS,23.8,1,1,1.1,1,0,1,0.42,Low
macOS,22.8,1,1,17.3,1,0,0,0.77,Low
Linux,14.4,1,0,10.4,1,0,1,1.69,Low
Linux,31.6,0,0,84.7,1,1,2,6.77,Medium
Linux,44.9,0,1,193.5,1,1,6,5.25,Medium
Windows,77.5,0,1,90.7,1,0,1,4.99,Medium
Windows,40.2,1,0,32.8,1,0,0,1.58,Low
Windows,104.4,0,0,107.7,0,1,4,10.0,High
macOS,65.3,1,1,42.7,1,0,1,1.47,Low
Linux,33.8,1,1,57.9,1,1,1,1.9,Low
Windows,97.5,1,1,43.7,0,1,2,5.45,Medium
macOS,67.5,1,1,9.8,1,1,1,2.33,Low
Windows,34.7,0,0,17.3,0,1,0,8.14,High
Windows,262.6,0,0,93.6,0,1,2,10.0,High
Windows,29.1,1,1,66.5,1,1,0,2.36,Low
Windows,233.9,0,0,58.1,1,1,4,10.0,High
Linux,128.8,0,1,33.0,1,1,1,5.18,Medium
Windows,143.0,1,1,307.3,0,0,3,6.37,Medium
macOS,169.0,0,0,57.7,1,0,2,8.61,High
macOS,80.0,0,1,79.5,1,1,5,5.99,Medium
Windows,67.9,1,1,7.4,0,0,1,3.0,Low
Windows,47.9,0,1,24.7,0,0,1,4.54,Medium
macOS,221.7,1,1,95.0,0,0,1,5.71,Medium
Windows,36.6,1,1,1.2,1,0,0,0.47,Low
Linux,55.2,0,0,27.6,0,0,2,8.15,High
Windows,174.2,0,1,132.8,1,1,0,7.24,High
macOS,115.7,0,0,59.1,1,0,1,8.05,High
macOS,192.4,0,1,145.2,1,1,2,8.02,High
Windows,64.6,1,0,43.8,0,1,2,5.17,Medium
Windows,64.9,0,1,154.6,0,0,1,6.19,Medium
Linux,68.4,1,1,30.8,0,0,0,3.38,Low
Windows,31.4,1,1,49.6,1,0,1,1.26,Low
Windows,60.1,0,1,58.4,0,0,3,6.32,Medium
Windows,171.9,1,0,56.5,1,1,2,6.08,Medium
Windows,156.7,1,0,66.5,0,1,1,7.29,High
macOS,371.3,0,1,60.7,0,0,2,8.81,High
macOS,88.5,0,1,125.8,1,1,2,5.74,Medium
Windows,75.2,1,1,17.1,1,1,0,2.26,Low
macOS,146.3,1,1,86.4,1,0,1,4.06,Medium
Windows,154.4,0,0,167.7,0,1,0,10.0,High
Windows,132.4,1,1,27.6,1,0,1,3.13,Low
macOS,44.4,1,0,9.0,1,0,0,2.18,Low
Linux,88.0,1,1,154.2,1,1,2,3.84,Low
Windows,123.9,1,0,114.3,0,1,1,6.67,Medium
Windows,23.6,1,0,29.2,1,1,2,2.78,Low
Windows,91.0,1,1,17.3,1,1,2,2.43,Low
macOS,264.0,0,1,2.9,0,0,0,7.02,High
Windows,92.3,0,1,40.0,1,1,3,7.05,High
Windows,99.0,1,1,45.7,0,0,1,4.07,Medium
macOS,69.2,1,1,7.8,0,0,0,3.63,Low
Windows,77.9,1,1,11.4,0,0,1,2.97,Low
Windows,227.5,1,1,37.3,1,1,1,4.11,Medium
Windows,83.0,0,1,41.4,0,1,2,7.64,High
Windows,180.4,1,1,139.4,0,1,4,8.94,High
Windows,71.8,1,1,33.2,1,1,1,1.96,Low
Linux,16.0,1,1,14.9,1,0,1,1.23,Low
macOS,38.3,0,1,15.7,1,0,1,3.41,Low
macOS,73.5,1,1,10.5,0,1,6,5.94,Medium
Linux,40.2,0,1,20.4,0,0,1,5.55,Medium
Windows,229.9,1,0,84.5,0,1,5,9.96,High
Windows,308.3,0,0,72.1,0,1,5,10.0,High
Linux,125.0,0,0,104.7,0,1,5,10.0,High
Windows,60.3,0,1,98.5,1,1,6,5.62,Medium
macOS,116.9,0,0,46.0,0,0,4,10.0,High
macOS,139.5,1,0,100.6,0,0,2,5.43,Medium
Windows,109.8,1,1,16.5,0,0,3,5.41,Medium
Windows,75.7,0,1,33.0,1,0,1,4.57,Medium
Windows,110.2,0,1,23.0,1,0,2,4.48,Medium
Windows,153.2,1,1,72.7,0,1,4,8.13,High
Windows,261.0,1,0,53.4,0,1,4,9.18,High
Windows,239.4,0,0,124.2,1,1,2,10.0,High
macOS,56.1,0,0,24.5,1,1,1,6.26,Medium
Linux,59.7,1,1,9.8,1,1,1,2.68,Low
macOS,72.3,1,0,32.0,0,1,1,6.12,Medium
Windows,87.7,1,1,15.5,0,0,2,2.57,Low
Windows,16.7,1,0,3.7,1,1,1,2.34,Low
Windows,215.9,1,1,100.4,1,0,3,5.98,Medium
Windows,81.0,1,1,39.6,1,0,1,1.96,Low
Linux,94.1,0,1,41.2,0,0,0,5.98,Medium
Windows,61.5,0,0,40.6,1,1,2,8.3,High
Windows,52.7,1,1,12.8,1,0,1,1.16,Low
macOS,89.3,0,1,28.0,0,1,2,7.17,High
Windows,82.3,1,0,62.4,0,0,0,4.83,Medium
Windows,201.5,0,1,61.0,0,1,3,10.0,High
Windows,33.6,1,1,39.4,1,0,1,1.67,Low
macOS,169.7,1,1,89.0,1,1,0,4.65,Medium
macOS,198.0,0,1,7.8,0,0,2,8.25,High
Windows,187.1,0,0,71.7,0,1,2,10.0,High
Linux,30.9,1,1,2.9,1,1,1,1.2,Low
Linux,78.4,1,1,16.3,1,0,1,1.83,Low
macOS,113.7,1,1,26.6,1,0,1,3.48,Low
Windows,40.2,0,1,6.3,1,0,0,3.23,Low
Windows,155.9,1,0,29.3,0,0,3,7.39,High
Linux,69.8,1,1,31.8,1,0,0,1.69,Low
Windows,42.9,1,0,59.8,1,1,2,3.45,Low
macOS,12.8,1,1,8.2,1,0,1,0.4,Low
macOS,299.1,1,0,176.7,1,1,6,6.99,Medium
Windows,68.4,1,1,80.0,1,0,3,2.45,Low
macOS,60.1,0,1,16.9,1,0,0,3.37,Low
Linux,129.9,1,0,23.0,1,0,0,3.85,Low
macOS,7.1,1,1,10.5,1,1,0,0.54,Low
Windows,121.2,1,1,68.8,0,0,1,4.58,Medium
Linux,102.8,1,0,31.6,1,0,0,3.37,Low
Windows,158.3,0,0,57.5,0,1,3,10.0,High
macOS,30.0,1,1,59.3,0,0,1,2.64,Low
macOS,42.3,1,1,12.8,1,1,0,2.13,Low
macOS,50.7,1,0,2.4,1,0,1,3.2,Low
Windows,40.9,1,1,50.9,1,0,2,2.11,Low
Windows,50.1,1,1,6.9,1,0,1,1.49,Low
Windows,161.7,1,1,93.6,1,1,2,4.22,Medium
